issn,journal_title,oa_model,apc,year,publisher
1098-1004,Human Mutation,Hybrid,4700,2022,wiley
1099-1077,Human Psychopharmacology: Clinical and Experimental,Hybrid,3550,2022,wiley
1532-1096,Human Resource Development Quarterly,Hybrid,3250,2022,wiley
1099-050X,Human Resource Management,Hybrid,3650,2022,wiley
1748-8583,Human Resource Management Journal,Hybrid,3750,2022,wiley
1099-1085,Hydrological Processes,Hybrid,4600,2022,wiley
1474-919X,Ibis,Hybrid,3950,2022,wiley
1600-065X,Immunological Reviews,Hybrid,4400,2022,wiley
1365-2567,Immunology,Hybrid,4700,2022,wiley
1440-1711,Immunology & Cell Biology,Hybrid,3300,2022,wiley
2042-7689,In Practice,Hybrid,2550,2022,wiley
1600-0668,Indoor Air,Hybrid,4800,2022,wiley
1468-232X,Industrial Relations,Hybrid,3050,2022,wiley
1468-2338,Industrial Relations Journal,Hybrid,2550,2022,wiley
1532-7078,Infancy,Hybrid,3050,2022,wiley
1522-7219,Infant and Child Development,Hybrid,2850,2022,wiley
1097-0355,Infant Mental Health Journal,Hybrid,2850,2022,wiley
1365-2575,Information Systems Journal,Hybrid,4500,2022,wiley
1752-4598,Insect Conservation and Diversity,Hybrid,4300,2022,wiley
1365-2583,Insect Molecular Biology,Hybrid,3750,2022,wiley
1744-7917,Insect Science,Hybrid,3150,2022,wiley
1551-3793,Integrated Environmental Assessment and Management,Hybrid,3300,2022,wiley
1749-4877,Integrative Zoology,Hybrid,3650,2022,wiley
2160-0074,"Intelligent Systems in Accounting, Finance and Management",Hybrid,2550,2022,wiley
1445-5994,Internal Medicine Journal,Hybrid,3150,2022,wiley
1468-2354,International Economic Review,Hybrid,3150,2022,wiley
1365-2591,International Endodontic Journal,Hybrid,4300,2022,wiley
1468-2362,International Finance,Hybrid,2550,2022,wiley
2042-6984,International Forum of Allergy & Rhinology,Hybrid,3600,2022,wiley
1099-1107,International Insolvency Review,Hybrid,2550,2022,wiley
1096-9853,International Journal for Numerical and Analytical Methods in Geomechanics,Hybrid,4400,2022,wiley
2040-7947,International Journal for Numerical Methods in Biomedical Engineering,Hybrid,4300,2022,wiley
1097-0207,International Journal for Numerical Methods in Engineering,Hybrid,4900,2022,wiley
1097-0363,International Journal for Numerical Methods in Fluids,Hybrid,4100,2022,wiley
1099-1115,International Journal of Adaptive Control and Signal Processing,Hybrid,3050,2022,wiley
1744-7402,International Journal of Applied Ceramic Technology,Hybrid,3950,2022,wiley
2041-1294,International Journal of Applied Glass Science,Hybrid,3950,2022,wiley
1473-4192,International Journal of Applied Linguistics,Hybrid,2850,2022,wiley
1556-9187,International Journal of Applied Psychoanalytic Studies,Hybrid,2550,2022,wiley
1476-8070,International Journal of Art & Design Education,Hybrid,2550,2022,wiley
1099-1123,International Journal of Auditing,Hybrid,2550,2022,wiley
1097-0215,International Journal of Cancer,Hybrid,4700,2022,wiley
1097-4601,International Journal of Chemical Kinetics,Hybrid,3250,2022,wiley
1097-007X,International Journal of Circuit Theory & Applications,Hybrid,3550,2022,wiley
1097-0088,International Journal of Climatology,Hybrid,3450,2022,wiley
1099-1131,International Journal of Communication Systems,Hybrid,3350,2022,wiley
1470-6431,International Journal of Consumer Studies,Hybrid,3000,2022,wiley
1468-2494,International Journal of Cosmetic Science,Hybrid,3300,2022,wiley
1471-0307,International Journal of Dairy Technology,Hybrid,3650,2022,wiley
1601-5037,International Journal of Dental Hygiene,Hybrid,3350,2022,wiley
1365-4632,International Journal of Dermatology,Hybrid,3650,2022,wiley
1873-474X,International Journal of Developmental Neuroscience,Hybrid,3150,2022,wiley
1098-108X,International Journal of Eating Disorders,Hybrid,4800,2022,wiley
1742-7363,International Journal of Economic Theory,Hybrid,3050,2022,wiley
1099-114X,International Journal of Energy Research,Hybrid,5100,2022,wiley
1365-2613,International Journal of Experimental Pathology,Hybrid,3450,2022,wiley
1099-1158,International Journal of Finance & Economics,Hybrid,3000,2022,wiley
1365-2621,International Journal of Food Science & Technology,Hybrid,3450,2022,wiley
1099-1166,International Journal of Geriatric Psychiatry,Hybrid,4700,2022,wiley
1879-3479,International Journal of Gynecology & Obstetrics,Hybrid,3950,2022,wiley
1098-1098,International Journal of Imaging Systems and Technology,Hybrid,3350,2022,wiley
1744-313X,International Journal of Immunogenetics,Hybrid,2550,2022,wiley
1098-111X,International Journal of Intelligent Systems,Hybrid,4000,2022,wiley
1475-6781,International Journal of Japanese Sociology,Hybrid,2550,2022,wiley
1751-553X,International Journal of Laboratory Hematology,Hybrid,3450,2022,wiley
1460-6984,International Journal of Language & CommunicationDisorders,Hybrid,3750,2022,wiley
1468-2370,International Journal of Management Reviews,Hybrid,3900,2022,wiley
1447-0349,International Journal of Mental Health Nursing,Hybrid,3700,2022,wiley
1099-1190,International Journal of Network Management,Hybrid,3050,2022,wiley
1099-1204,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",Hybrid,2950,2022,wiley
2047-3095,International Journal of Nursing Knowledge,Hybrid,2950,2022,wiley
1440-172X,International Journal of Nursing Practice,Hybrid,3600,2022,wiley
1748-3743,International Journal of Older People Nursing,Hybrid,4000,2022,wiley
1099-1212,International Journal of Osteoarchaeology,Hybrid,3900,2022,wiley
1365-263X,International Journal of Paediatric Dentistry,Hybrid,4100,2022,wiley
1464-066X,International Journal of Psychology,Hybrid,3150,2022,wiley
1097-461X,International Journal of Quantum Chemistry,Hybrid,4200,2022,wiley
1099-047X,International Journal of RF and Microwave Computer-Aided Engineering,Hybrid,3150,2022,wiley
1756-185X,International Journal of Rheumatic Diseases,Hybrid,3250,2022,wiley
1099-1239,International Journal of Robust and Nonlinear Control,Hybrid,3950,2022,wiley
1542-0981,International Journal of Satellite Communications and Networking,Hybrid,3650,2022,wiley
1468-2389,International Journal of Selection and Assessment,Hybrid,2550,2022,wiley
1468-2397,International Journal of Social Welfare,Hybrid,3100,2022,wiley
1468-2400,International Journal of Systematic Theology,Hybrid,2550,2022,wiley
1522-1970,International Journal of Tourism Research,Hybrid,3350,2022,wiley
1468-2419,International Journal of Training and Development,Hybrid,2550,2022,wiley
1468-2427,International Journal of Urban and Regional Research,Hybrid,3650,2022,wiley
1749-771X,International Journal of Urological Nursing,Hybrid,2550,2022,wiley
1442-2042,International Journal of Urology,Hybrid,3300,2022,wiley
1564-913X,International Labour Review,Hybrid,2850,2022,wiley
1468-2435,International Migration,Hybrid,3300,2022,wiley
1466-7657,International Nursing Review,Hybrid,3000,2022,wiley
1468-2443,International Review of Finance,Hybrid,2550,2022,wiley
1522-2632,International Review of Hydrobiology,Hybrid,2850,2022,wiley
1758-6631,International Review of Mission,Hybrid,2550,2022,wiley
1468-2451,International Social Science Journal,Hybrid,2550,2022,wiley
1468-246X,International Social Security Review,Hybrid,2550,2022,wiley
1751-5823,International Statistical Review,Hybrid,4300,2022,wiley
1475-3995,International Transactions in Operational Research,Hybrid,3550,2022,wiley
2476-1508,Internet Technology Letters,Hybrid,2550,2022,wiley
1744-7410,Invertebrate Biology,Hybrid,3350,2022,wiley
2573-2331,IPPR Progressive Review,Hybrid,3050,2022,wiley
1531-0361,Irrigation and Drainage,Hybrid,3350,2022,wiley
1440-1738,Island Arc,Hybrid,2850,2022,wiley
1869-5868,Israel Journal of Chemistry,Hybrid,4100,2022,wiley
1521-6551,IUBMB Life,Hybrid,3900,2022,wiley
2574-9870,JACCP:  Journal of the American College of Clinical Pharmacy,Hybrid,3050,2022,wiley
1742-7924,Japan Journal of Nursing Science,Hybrid,2750,2022,wiley
1468-5965,JCMS: Journal of Common Market Studies,Hybrid,3850,2022,wiley
2573-5098,JFSA Reports,Hybrid,3050,2022,wiley
1551-8833,Journal AWWA,Hybrid,3050,2022,wiley
1610-0387,Journal der Deutschen Dermatologischen Gesellschaft,Hybrid,3950,2022,wiley
1754-0208,Journal For Eighteenth-Century Studies,Hybrid,2550,2022,wiley
1744-6155,Journal for Specialists In Pediatric Nursing,Hybrid,2950,2022,wiley
2475-5389,Journal for the Anthropology of North America,Hybrid,3000,2022,wiley
1468-5906,Journal for the Scientific Study of Religion,Hybrid,2850,2022,wiley
1468-5914,Journal for the Theory of Social Behaviour,Hybrid,2950,2022,wiley
1475-679X,Journal of Accounting Research,Hybrid,3750,2022,wiley
2161-1874,Journal of Addictions & Offender Counseling,Hybrid,2550,2022,wiley
1095-9254,Journal of Adolescence,Hybrid,3000,2022,wiley
1936-2706,Journal of Adolescent & Adult Literacy,Hybrid,2600,2022,wiley
2637-403X,Journal of Advanced Manufacturing and Processing,Hybrid,3550,2022,wiley
1365-2648,Journal of Advanced Nursing,Hybrid,4800,2022,wiley
1471-0366,Journal of Agrarian Change,Hybrid,3550,2022,wiley
1477-9552,Journal of Agricultural Economics,Hybrid,3650,2022,wiley
1439-037X,Journal of Agronomy and Crop Science,Hybrid,4200,2022,wiley
1532-5415,Journal of American Geriatrics Society,Hybrid,4400,2022,wiley
1468-5922,Journal of Analytical Psychology,Hybrid,3050,2022,wiley
1469-7580,Journal of Anatomy,Hybrid,3000,2022,wiley
1439-0388,Journal of Animal Breeding and Genetics,Hybrid,4200,2022,wiley
1365-2656,Journal of Animal Ecology,Hybrid,3300,2022,wiley
1439-0396,Journal of Animal Physiology and Animal Nutrition,Hybrid,4100,2022,wiley
1938-3703,Journal of Applied Behavior Analysis,Hybrid,3050,2022,wiley
1745-6622,Journal of Applied Corporate Finance,Hybrid,2550,2022,wiley
1600-5767,Journal of Applied Crystallography,Hybrid,4500,2022,wiley
1365-2664,Journal of Applied Ecology,Hybrid,3300,2022,wiley
1099-1255,Journal of Applied Econometrics,Hybrid,3550,2022,wiley
1439-0418,Journal of Applied Entomology,Hybrid,4200,2022,wiley
1439-0426,Journal of Applied Ichthyology,Hybrid,2950,2022,wiley
1365-2672,Journal of Applied Microbiology,Hybrid,3600,2022,wiley
1468-5930,Journal of Applied Philosophy,Hybrid,3500,2022,wiley
1097-4628,Journal of Applied Polymer Science,Hybrid,4300,2022,wiley
1468-3148,Journal of Applied Research in Intellectual Disabilities,Hybrid,4200,2022,wiley
1559-1816,Journal of Applied Social Psychology,Hybrid,3150,2022,wiley
1099-1263,Journal of Applied Toxicology,Hybrid,4100,2022,wiley
1548-8667,Journal of Aquatic Animal Health,Hybrid,3450,2022,wiley
1521-4028,Journal of Basic Microbiology,Hybrid,2850,2022,wiley
1099-0771,Journal of Behavioral Decision Making,Hybrid,3250,2022,wiley
1099-0461,Journal of Biochemical and Molecular Toxicology,Hybrid,3900,2022,wiley
1365-2699,Journal of Biogeography,Hybrid,4700,2022,wiley
1552-4965,Journal of Biomedical Materials Research Part A,Hybrid,4100,2022,wiley
1552-4981,Journal of Biomedical Materials Research Part B: Applied Biomaterials,Hybrid,3000,2022,wiley
1864-0648,Journal of Biophotonics,Hybrid,4800,2022,wiley
1523-4681,Journal of Bone and Mineral Research,Hybrid,3600,2022,wiley
1468-5957,Journal of Business Finance & Accounting,Hybrid,3350,2022,wiley
2158-1592,Journal of Business Logistics,Hybrid,2750,2022,wiley
1540-8191,Journal of Cardiac Surgery,Hybrid,3750,2022,wiley
1540-8167,Journal of Cardiovascular Electrophysiology,Hybrid,4000,2022,wiley
1097-4644,Journal of Cellular Biochemistry,Hybrid,4500,2022,wiley
1097-4652,Journal of Cellular Physiology,Hybrid,4800,2022,wiley
1097-4660,Journal of Chemical Technology and Biotechnology,Hybrid,4100,2022,wiley
1099-128X,Journal of Chemometrics,Hybrid,4400,2022,wiley
1744-6171,Journal of Child and Adolescent Psychiatric Nursing,Hybrid,2550,2022,wiley
1469-7610,Journal of Child Psychology and Psychiatry,Hybrid,4400,2022,wiley
1098-1101,Journal of Clinical Apheresis,Hybrid,3450,2022,wiley
1365-2702,Journal of Clinical Nursing,Hybrid,4800,2022,wiley
1600-051X,Journal of Clinical Periodontology,Hybrid,4900,2022,wiley
1552-4604,Journal of Clinical Pharmacology,Hybrid,3650,2022,wiley
1365-2710,Journal of Clinical Pharmacy and Therapeutics,Hybrid,3850,2022,wiley
1097-4679,Journal of Clinical Psychology,Hybrid,3350,2022,wiley
1097-0096,Journal of Clinical Ultrasound,Hybrid,2950,2022,wiley
1520-6610,Journal of Combinatorial Designs,Hybrid,2950,2022,wiley
1099-1298,Journal of Community & Applied Social Psychology,Hybrid,3150,2022,wiley
1520-6629,Journal of Community Psychology,Hybrid,3350,2022,wiley
1096-987X,Journal of Computational Chemistry,Hybrid,4700,2022,wiley
1365-2729,Journal of Computer Assisted Learning,Hybrid,3650,2022,wiley
1745-6606,Journal of Consumer Affairs,Hybrid,2950,2022,wiley
1479-1838,Journal of Consumer Behaviour,Hybrid,2950,2022,wiley
1532-7663,Journal of Consumer Psychology,Hybrid,3150,2022,wiley
1468-5973,Journal of Contingencies and Crisis Management,Hybrid,3000,2022,wiley
1097-0053,Journal of Corporate Accounting & Finance,Hybrid,3050,2022,wiley
1473-2165,Journal of Cosmetic Dermatology,Hybrid,4200,2022,wiley
1556-6676,Journal of Counseling & Development,Hybrid,2550,2022,wiley
1600-0560,Journal of Cutaneous Pathology,Hybrid,3150,2022,wiley
1930-7837,Journal of Dental Education,Hybrid,3150,2022,wiley
1751-2980,Journal of Digestive Diseases,Hybrid,2950,2022,wiley
1365-2745,Journal of Ecology,Hybrid,3300,2022,wiley
1467-6419,Journal of Economic Surveys,Hybrid,3750,2022,wiley
1530-9134,Journal of Economics & Management Strategy,Hybrid,2850,2022,wiley
1745-3984,Journal of Educational Measurement,Hybrid,2700,2022,wiley
1740-1461,Journal of Empirical Legal Studies,Hybrid,2950,2022,wiley
2161-1920,Journal of Employment Counseling,Hybrid,2550,2022,wiley
2168-9830,Journal of Engineering Education,Hybrid,3600,2022,wiley
1537-2537,Journal of Environmental Quality ,Hybrid,1150,2022,wiley
1708-8240,Journal of Esthetic and Restorative Dentistry,Hybrid,3550,2022,wiley
1550-7408,Journal of Eukaryotic Microbiology,Hybrid,3000,2022,wiley
1365-2753,Journal of Evaluation in Clinical Practice,Hybrid,3900,2022,wiley
1756-5391,Journal of Evidence-Based Medicine,Hybrid,2550,2022,wiley
1420-9101,Journal of Evolutionary Biology,Hybrid,3000,2022,wiley
1932-5231,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,Hybrid,4000,2022,wiley
1552-5015,Journal of Experimental Zoology Part B Molecular and Developmental Evolution,Hybrid,3050,2022,wiley
1756-2589,Journal of Family Theory & Review,Hybrid,2550,2022,wiley
1467-6427,Journal of Family Therapy,Hybrid,2950,2022,wiley
1556-4967,Journal of Field Robotics,Hybrid,4300,2022,wiley
1095-8649,Journal of Fish Biology,Hybrid,3950,2022,wiley
1365-2761,Journal of Fish Diseases,Hybrid,4800,2022,wiley
1745-4514,Journal of Food Biochemistry,Hybrid,3600,2022,wiley
1745-4530,Journal of Food Process Engineering,Hybrid,3150,2022,wiley
1745-4549,Journal of Food Processing and Preservation,Hybrid,3150,2022,wiley
1745-4565,Journal of Food Safety,Hybrid,3350,2022,wiley
1750-3841,Journal of Food Science,Hybrid,4000,2022,wiley
1099-131X,Journal of Forecasting,Hybrid,3000,2022,wiley
1556-4029,Journal of Forensic Sciences,Hybrid,4000,2022,wiley
1440-1746,Journal of Gastroenterology and Hepatology,Hybrid,4400,2022,wiley
1573-3599,Journal of Genetic Counseling,Hybrid,3550,2022,wiley
2169-8996,Journal of Geophysical Research: Atmospheres,Hybrid,3600,2022,wiley
2169-8961,Journal of Geophysical Research: Biogeosciences,Hybrid,3600,2022,wiley
2169-9011,Journal of Geophysical Research: Earth Surface,Hybrid,3600,2022,wiley
2169-9291,Journal of Geophysical Research: Oceans,Hybrid,3600,2022,wiley
2169-9100,Journal of Geophysical Research: Planets,Hybrid,3600,2022,wiley
2169-9356,Journal of Geophysical Research: Solid Earth,Hybrid,3600,2022,wiley
2169-9402,Journal of Geophysical Research: Space Physics,Hybrid,3600,2022,wiley
1097-0118,Journal of Graph Theory,Hybrid,3650,2022,wiley
2040-0861,Journal of Healthcare Risk Management,Hybrid,3050,2022,wiley
1868-6982,Journal of Hepato-Biliary-Pancreatic Sciences,Hybrid,3700,2022,wiley
1943-5193,Journal of Heterocyclic Chemistry,Hybrid,3000,2022,wiley
1467-6443,Journal of Historical Sociology,Hybrid,3000,2022,wiley
1553-5606,Journal of Hospital Medicine,Hybrid,3000,2022,wiley
1365-277X,Journal of Human Nutrition and Dietetics,Hybrid,4000,2022,wiley
1530-9290,Journal of Industrial Ecology,Hybrid,3300,2022,wiley
1573-2665,Journal of Inherited Metabolic Disease,Hybrid,3300,2022,wiley
1744-7909,Journal of Integrative Plant Biology,Hybrid,2650,2022,wiley
1365-2788,Journal of Intellectual Disability Research,Hybrid,3450,2022,wiley
1939-1668,Journal of Interior Design,Hybrid,2550,2022,wiley
1365-2796,Journal of Internal Medicine,Hybrid,4200,2022,wiley
1099-1328,Journal of International Development,Hybrid,2950,2022,wiley
1467-646X,Journal of International Financial Management & Accounting,Hybrid,2650,2022,wiley
1544-4767,Journal of Investigative Psychology and Offender Profiling,Hybrid,2550,2022,wiley
1099-1344,Journal of Labelled Compounds and Radiopharmaceuticals,Hybrid,3350,2022,wiley
1935-4940,Journal of Latin American & Caribbean Anthropology,Hybrid,3000,2022,wiley
1467-6478,Journal of Law and Society,Hybrid,2800,2022,wiley
1935-262X,Journal of Leadership Studies,Hybrid,3000,2022,wiley
1744-1722,Journal of Legal Studies Education,Hybrid,2550,2022,wiley
1938-3673,Journal of Leukocyte Biology,Hybrid,3350,2022,wiley
1548-1395,Journal of Linguistic Anthropology,Hybrid,3000,2022,wiley
1522-2586,Journal of Magnetic Resonance Imaging,Hybrid,3500,2022,wiley
1467-6486,Journal of Management Studies,Hybrid,3650,2022,wiley
1752-0606,Journal of Marital and Family Therapy,Hybrid,2650,2022,wiley
1741-3737,Journal of Marriage and Family,Hybrid,3750,2022,wiley
1096-9888,Journal of Mass Spectrometry,Hybrid,3900,2022,wiley
1754-9485,Journal of Medical Imaging and Radiation Oncology,Hybrid,3250,2022,wiley
1600-0684,Journal of Medical Primatology,Hybrid,2950,2022,wiley
1096-9071,Journal of Medical Virology,Hybrid,3900,2022,wiley
1525-1314,Journal of Metamorphic Geology,Hybrid,4400,2022,wiley
1365-2818,Journal of Microscopy,Hybrid,4400,2022,wiley
1542-2011,Journal of Midwifery & Women's Health,Hybrid,3300,2022,wiley
1099-1352,Journal of Molecular Recognition,Hybrid,3350,2022,wiley
